time_clean_raw,roll_clean_raw,pitch_clean_raw,yaw_clean_raw,time_clean_kalman,roll_clean_kalman,pitch_clean_kalman,yaw_clean_kalman,time_clean_madgwick,roll_clean_madgwick,pitch_clean_madgwick,yaw_clean_madgwick,time_defective_raw,roll_defective_raw,pitch_defective_raw,yaw_defective_raw,time_defective_kalman,roll_defective_kalman,pitch_defective_kalman,yaw_defective_kalman,time_defective_madgwick,roll_defective_madgwick,pitch_defective_madgwick,yaw_defective_madgwick
1715943869.7401576,0.0,0.0,0.0,1715943869.7401576,0.0,0.0,0.0,1715943869.7401576,0.011948878780107586,-0.014002216973073356,-0.425656750383893,1715943870.2801144,0.01777400502488402,0.0012899937047845533,0.0020821635144904933,1715943869.7901578,0.010716393373291326,0.004961947991071636,0.014945677197542213,1715943869.7901578,0.008776863469334817,-0.0213042896957083,-0.7192911081758133
1715943869.7502143,0.0,0.0,0.0,1715943869.7502143,0.0,0.0,0.0,1715943869.7502143,0.013260177287611863,-0.012368818086836653,-0.4253313915641071,1715943870.2901323,0.001754610639645938,0.01467530984325327,0.012430188342023477,1715943869.8002143,0.005851634437387576,0.007623479007740297,0.002583875844515829,1715943869.8002143,0.007430460878578682,-0.01994042297908849,-0.7196916504023196
1715943869.760154,0.0,0.0,0.0,1715943869.760154,0.0,0.0,0.0,1715943869.760154,0.013367748931340073,-0.010727281840875902,-0.4250269917637794,1715943870.3001528,0.004101498262819348,0.009635259837834198,9.55025866754256e-05,1715943869.810154,0.0158634508810181,0.013881753733784974,0.007169973274314168,1715943869.810154,0.008552625382784562,-0.01836456210565074,-0.7200732284258118
1715943869.7701347,0.0,0.0,0.0,1715943869.7701347,0.0,0.0,0.0,1715943869.7701347,0.012580105437144884,-0.010630918690147206,-0.4246575874302573,1715943870.7301903,0.012832640738662207,0.00906706969843718,0.01536363296702608,1715943869.8201346,0.01071086461899556,0.00800378125503265,0.019213607921959114,1715943869.8201346,0.011287589418852217,-0.01824165896686858,-0.7204888200303952
1715943869.780126,0.0,0.0,0.0,1715943869.780126,0.0,0.0,0.0,1715943869.780126,0.011258088312388892,-0.010467748872019289,-0.4241672132823585,1715943870.7415178,0.006624468583803842,0.004767339069265075,0.01702879899840052,1715943869.8301263,0.0039354288674042295,0.01807856552678233,0.015279086958792619,1715943869.8301263,0.012702713629507922,-0.018025437333710315,-0.7210488149638827
1715943869.793364,0.0,0.0,0.0,1715943869.793364,0.0,0.0,0.0,1715943869.793364,0.014355519018653257,-0.011445564432116084,-0.42381175206744437,1715943870.750135,0.00786406043013433,0.007857071482221034,0.004692931871074439,1715943869.8601382,0.01519167349172626,0.0005893475189659991,0.011439770327252897,1715943869.8601382,0.015810815691313262,-0.026633956591756158,-0.7224299752960999
1715943869.8001895,0.0,0.0,0.0,1715943869.8001895,0.0,0.0,0.0,1715943869.8001895,0.01404641390085229,-0.013329353708279923,-0.42351710895759365,1715943870.7602174,0.01787757967015318,0.00027801794092052745,0.000756902620591287,1715943870.2801144,0.01777400502488402,0.0012899937047845533,0.0020821635144904933,1715943869.880088,0.013582894128049805,-0.02879964163069615,-0.7232038313391058
1715943869.810138,0.0,0.0,0.0,1715943869.810138,0.0,0.0,0.0,1715943869.810138,0.013474913067015759,-0.01595537811077663,-0.42310608159490665,1715943870.7702045,0.005653314763968244,0.015747433132033972,0.014326729327862322,1715943870.2901323,0.001754610639645938,0.01467530984325327,0.012430188342023477,1715943870.2801144,0.008524325709296843,-0.02741619510744142,-0.7406536650289866
1715943869.8201606,0.0,0.0,0.0,1715943869.8201606,0.0,0.0,0.0,1715943869.8201606,0.013896950781745021,-0.018126701492238828,-0.4228208425914425,1715943870.7802,0.01484381395629775,0.018152771721742678,0.005664488591355006,1715943870.3001528,0.004101498262819348,0.009635259837834198,9.55025866754256e-05,1715943870.2901323,0.008670317340401024,-0.02943692609773141,-0.741137621055378
1715943869.8300881,0.0,0.0,0.0,1715943870.2401323,0.0,0.0,0.0,1715943869.8300881,0.015566935981858626,-0.01921393204422639,-0.42255886792398367,1715943870.7902608,0.018909074574294145,0.015543420255275997,0.002838101069896815,1715943870.7301903,0.012832640738662207,0.00906706969843718,0.01536363296702608,1715943870.3001528,0.010626311042063019,-0.030866455464674036,-0.7417142654207876
1715943870.2401323,0.0,0.0,0.0,1715943870.2501528,0.0,0.0,0.0,1715943870.2401323,0.014447425705316042,-0.023302444011755075,-0.4068242128976298,1715943870.800138,0.0021895464050213998,0.017514018782357477,0.0018640812078269656,1715943870.7415178,0.006624468583803842,0.004767339069265075,0.01702879899840052,1715943870.7301903,0.008577965981943159,-0.03568964111423112,-0.7606791561580044
1715943870.2501528,0.0,0.0,0.0,1715943870.260107,0.0,0.0,0.0,1715943870.2501528,0.013246181808935109,-0.024317245168928858,-0.40626293169787053,1715943870.8101735,0.003709077067335551,0.013154852474744683,0.013540660406774669,1715943870.750135,0.00786406043013433,0.007857071482221034,0.004692931871074439,1715943870.7415178,0.00822192890038087,-0.03332047059246346,-0.7610400624865576
1715943870.260107,0.0,0.0,0.0,1715943870.6801903,0.0,0.0,0.0,1715943870.260107,0.011830092206680687,-0.024260595780888794,-0.40569825917004904,1715943870.8201885,0.005412846443790078,0.017126009997527225,0.002848540613997025,1715943870.7602174,0.01787757967015318,0.00027801794092052745,0.000756902620591287,1715943870.750135,0.008607052027565842,-0.03176339804405792,-0.7614439437094553
